Sample_No,Date_Sampled,Sample_Point,Zone,Measure,Result,Units
5890227,2018-12-30,S11765,Southwold,Turbidity,0.2,NTU
5890156,2018-12-23,S16870,Wakefield,Turbidity,0.2,NTU
5890156,2018-12-23,S16870,Wakefield,E Coli,0,Orgs/100mL
5765947,2018-09-05,S13840,Wakefield,Turbidity,0.2,NTU
5765948,2018-09-05,S17696,Tarnstead,Turbidity,0.2,NTU
5765928,2018-09-05,S14975,Blancathey,Turbidity,0.2,NTU
5765957,2018-09-05,S17173,Swadlincote,Turbidity,0.2,NTU
5765943,2018-09-05,S19914,Merton,THMs,0.011,mg/L
5735030,2018-08-15,S13798,Snake's Canyon,Turbidity,0.1,NTU
5735013,2018-08-14,S17769,Bellmoral,THMs,0.015,mg/L
5735027,2018-08-15,S19339,Paethsmouth,Turbidity,0.1,NTU
5735051,2018-08-15,S12119,Pontybridge,Turbidity,0.2,NTU
5765929,2018-09-05,S19914,Merton,Turbidity,0.2,NTU
5765966,2018-09-05,S16510,Strathmore,THMs,0.054,mg/L
5582231,2018-06-14,S11254,Wakefield,E Coli,0,Orgs/100mL
5582220,2018-06-14,S12669,Paethsmouth,E Coli,0,Orgs/100mL
5582221,2018-06-14,S13856,Snake's Canyon,E Coli,0,Orgs/100mL
5589127,2018-06-17,S10133,Southwold,E Coli,0,Orgs/100mL
5581983,2018-06-06,S13818,Paethsmouth,E Coli,0,Orgs/100mL
5581985,2018-06-06,S18682,Snake's Canyon,E Coli,0,Orgs/100mL
5581998,2018-06-06,S13397,Merton,THMs,0.006,mg/L
5581993,2018-06-06,S14812,Swadlincote,E Coli,0,Orgs/100mL
5581969,2018-06-06,S15984,Blancathey,E Coli,0,Orgs/100mL
5581868,2018-06-03,S14925,Southwold,Turbidity,0.2,NTU
5581986,2018-06-06,S11858,Wakefield,Turbidity,0.1,NTU
5735053,2018-08-15,S18255,Swadlincote,Turbidity,0.2,NTU
5735107,2018-08-19,S14925,Southwold,E Coli,0,Orgs/100mL
5582198,2018-06-13,S17769,Bellmoral,Turbidity,0.2,NTU
5847636,2018-11-13,S16669,Bellmoral,THMs,0.008,mg/L
5847698,2018-11-14,S17923,Paethsmouth,Turbidity,0.1,NTU
5798937,2018-10-24,S11076,Strathmore,E Coli,0,Orgs/100mL
5798926,2018-10-24,S12669,Paethsmouth,Turbidity,0.1,NTU
5798908,2018-10-24,S17218,Blancathey,Turbidity,0.1,NTU
5798927,2018-10-24,S13798,Snake's Canyon,E Coli,0,Orgs/100mL
5798940,2018-10-24,S14101,Pontybridge,E Coli,0,Orgs/100mL
5798922,2018-10-24,S18186,Merton,THMs,0.007,mg/L
5798589,2018-10-17,S16451,Blancathey,Turbidity,0.3,NTU
5798909,2018-10-24,S18186,Merton,Turbidity,0.2,NTU
5798602,2018-10-17,S17805,Tarnstead,Turbidity,0.2,NTU
5798591,2018-10-17,S15513,Merton,Turbidity,0.2,NTU
5798623,2018-10-17,S15280,Strathmore,Turbidity,0.2,NTU
5798615,2018-10-17,S17805,Tarnstead,THMs,0.09,mg/L
5798987,2018-10-28,S17867,Southwold,E Coli,0,Orgs/100mL
5579822,2018-04-02,S10133,Southwold,E Coli,0,Orgs/100mL
5491378,2018-03-27,S10232,Bellmoral,THMs,0.011,mg/L
5579981,2018-04-04,S14755,Blancathey,E Coli,0,Orgs/100mL
5457149,2018-01-04,S17296,Blancathey,E Coli,0,Orgs/100mL
5457173,2018-01-04,S16901,Pontybridge,E Coli,0,Orgs/100mL
5387428,2017-12-26,S17867,Southwold,Turbidity,0.2,NTU
5387582,2017-12-26,S14758,Bellmoral,Turbidity,0.2,NTU
5457138,2018-01-03,S16669,Bellmoral,E Coli,0,Orgs/100mL
5847649,2018-11-14,S18578,Blancathey,Turbidity,0.2,NTU
5847718,2018-11-14,S14363,Swadlincote,Turbidity,0.2,NTU
5387614,2017-12-26,S19914,Merton,Turbidity,0.1,NTU
5387594,2017-12-26,S12437,Blancathey,Turbidity,0.2,NTU
5491393,2018-03-28,S10703,Paethsmouth,E Coli,0,Orgs/100mL
5890165,2018-12-23,S16510,Strathmore,Turbidity,0.2,NTU
5890155,2018-12-23,S10990,Snake's Canyon,E Coli,0,Orgs/100mL
5690620,2018-07-11,S15984,Blancathey,Turbidity,0.1,NTU
5605817,2018-06-27,S13840,Wakefield,E Coli,0,Orgs/100mL
5605814,2018-06-27,S13148,Paethsmouth,E Coli,0,Orgs/100mL
5605812,2018-06-27,S14975,Blancathey,E Coli,0,Orgs/100mL
5605839,2018-06-27,S15280,Strathmore,E Coli,0,Orgs/100mL
5690613,2018-07-11,S18186,Merton,Turbidity,0.2,NTU
5690618,2018-07-11,S11858,Wakefield,Turbidity,0.2,NTU
5690642,2018-07-11,S15163,Strathmore,Turbidity,0.1,NTU
5690640,2018-07-11,S16901,Pontybridge,Turbidity,0.2,NTU
5890227,2018-12-30,S11765,Southwold,E Coli,0,Orgs/100mL
5890164,2018-12-23,S16589,Swadlincote,Turbidity,0.2,NTU
5690691,2018-07-15,S14049,Southwold,E Coli,0,Orgs/100mL
5889987,2018-12-26,S19084,Southwold,Turbidity,0.1,NTU
5385574,2017-11-08,S12921,Swadlincote,Turbidity,0.1,NTU
5690641,2018-07-11,S14363,Swadlincote,Turbidity,0.2,NTU
5690619,2018-07-11,S14567,Tarnstead,Turbidity,0.1,NTU
5605835,2018-06-27,S13306,Pontybridge,E Coli,0,Orgs/100mL
5605818,2018-06-27,S17696,Tarnstead,E Coli,0,Orgs/100mL
5889547,2018-12-12,S16474,Snake's Canyon,Turbidity,0.4,NTU
5889540,2018-12-12,S15984,Blancathey,Turbidity,0.3,NTU
5889554,2018-12-12,S15984,Blancathey,THMs,0.008,mg/L
5605795,2018-06-26,S14758,Bellmoral,Turbidity,0.1,NTU
5605813,2018-06-27,S18186,Merton,Turbidity,0.6,NTU
5605837,2018-06-27,S12566,Swadlincote,Turbidity,0.2,NTU
5889579,2018-12-12,S15280,Strathmore,Turbidity,0.1,NTU
5581970,2018-06-06,S14759,Blancathey,E Coli,0,Orgs/100mL
5644794,2018-06-06,S17218,Blancathey,E Coli,0,Orgs/100mL
5581959,2018-06-07,S17620,Bellmoral,Turbidity,0.5,NTU
5581959,2018-06-05,S17620,Bellmoral,E Coli,0,Orgs/100mL
5581982,2018-06-06,S10703,Paethsmouth,E Coli,0,Orgs/100mL
5581993,2018-06-06,S14812,Swadlincote,Turbidity,0.1,NTU
