Sample_No,Date_Sampled,Sample_Point,System,Zone,Measure,Result,Units
5890125,2018-12-26,090D03,Laanecoorie,Bealiba,Turbidity,0.1,NTU
5890123,2018-12-26,090B09,Laanecoorie,Dunolly,Turbidity,0.05,NTU
5890227,2018-12-30,095D08,Bendigo,Epsom - Huntly,Turbidity,0.2,NTU
5890156,2018-12-23,095M05,Bendigo,Bendigo (Sebastian),Turbidity,0.2,NTU
5890156,2018-12-23,095M05,Bendigo,Bendigo (Sebastian),E Coli,0,Orgs/100mL
5890124,2018-12-26,090C03,Laanecoorie,Tarnagulla,Turbidity,0.1,NTU
5765947,2018-09-05,095M04,Bendigo,Bendigo (Sebastian),Turbidity,0.2,NTU
5765948,2018-09-05,095N04,Bendigo,Bendigo (Raywood),Turbidity,0.2,NTU
5765903,2018-09-04,090B08,Laanecoorie,Dunolly,Turbidity,0.1,NTU
5765928,2018-09-05,095A17,Bendigo,Bendigo (Northern),Turbidity,0.2,NTU
5765957,2018-09-05,095K07,Bendigo,Junortoun,Turbidity,0.2,NTU
5765904,2018-09-04,090C04,Laanecoorie,Tarnagulla,Turbidity,0.1,NTU
5766193,2018-09-11,090C01,Laanecoorie,Tarnagulla,E Coli,0,Orgs/100mL
5765943,2018-09-05,095F02,Bendigo,Big Hill,THMs,0.011,mg/L
5735030,2018-08-15,095J02,Bendigo,Bendigo (Spring Gully),Turbidity,0.1,NTU
5735013,2018-08-14,095B04,Bendigo,Maiden Gully - Marong,THMs,0.015,mg/L
5735027,2018-08-15,095H20,Bendigo,Bendigo (Southern),Turbidity,0.1,NTU
5734990,2018-08-14,090B03,Laanecoorie,Dunolly,Turbidity,0.1,NTU
5735051,2018-08-15,095C06,Bendigo,Strathfieldsaye,Turbidity,0.2,NTU
5765929,2018-09-05,095F02,Bendigo,Big Hill,Turbidity,0.2,NTU
5765966,2018-09-05,095L02,Bendigo,Bendigo (Axedale),THMs,0.054,mg/L
5582231,2018-06-14,095M03,Bendigo,Bendigo (Sebastian),E Coli,0,Orgs/100mL
5582220,2018-06-14,095H22,Bendigo,Bendigo (Southern),E Coli,0,Orgs/100mL
5582202,2018-06-13,090A02,Laanecoorie,Laanecoorie,THMs,0.043,mg/L
5582203,2018-06-13,090B03,Laanecoorie,Dunolly,THMs,0.054,mg/L
5582221,2018-06-14,095J03,Bendigo,Bendigo (Spring Gully),E Coli,0,Orgs/100mL
5582204,2018-06-13,090D07,Laanecoorie,Bealiba,THMs,0.15,mg/L
5582194,2018-06-13,090A02,Laanecoorie,Laanecoorie,Turbidity,0.2,NTU
5582195,2018-06-13,090B03,Laanecoorie,Dunolly,Turbidity,0.2,NTU
5589127,2018-06-17,095D03,Bendigo,Epsom - Huntly,E Coli,0,Orgs/100mL
5581983,2018-06-06,095H02,Bendigo,Bendigo (Southern),E Coli,0,Orgs/100mL
5581985,2018-06-06,095J11,Bendigo,Bendigo (Spring Gully),E Coli,0,Orgs/100mL
5581956,2018-06-05,090C02,Laanecoorie,Tarnagulla,E Coli,0,Orgs/100mL
5581998,2018-06-06,095F04,Bendigo,Big Hill,THMs,0.006,mg/L
5581993,2018-06-06,095K03,Bendigo,Junortoun,E Coli,0,Orgs/100mL
5581969,2018-06-06,095A18,Bendigo,Bendigo (Northern),E Coli,0,Orgs/100mL
5766191,2018-09-11,090A03,Laanecoorie,Laanecoorie,E Coli,0,Orgs/100mL
5581868,2018-06-03,095D11,Bendigo,Epsom - Huntly,Turbidity,0.2,NTU
5581986,2018-06-06,095M02,Bendigo,Bendigo (Sebastian),Turbidity,0.1,NTU
5735053,2018-08-15,095K08,Bendigo,Junortoun,Turbidity,0.2,NTU
5735107,2018-08-19,095D11,Bendigo,Epsom - Huntly,E Coli,0,Orgs/100mL
5582198,2018-06-13,095B04,Bendigo,Maiden Gully - Marong,Turbidity,0.2,NTU
5847636,2018-11-13,095B02,Bendigo,Maiden Gully - Marong,THMs,0.008,mg/L
5847698,2018-11-14,095H16,Bendigo,Bendigo (Southern),Turbidity,0.1,NTU
5798895,2018-10-23,090D01,Laanecoorie,Bealiba,Turbidity,0.1,NTU
5798937,2018-10-24,095L04,Bendigo,Bendigo (Axedale),E Coli,0,Orgs/100mL
5798926,2018-10-24,095H22,Bendigo,Bendigo (Southern),Turbidity,0.1,NTU
5798908,2018-10-24,095A24,Bendigo,Bendigo (Northern),Turbidity,0.1,NTU
5798927,2018-10-24,095J02,Bendigo,Bendigo (Spring Gully),E Coli,0,Orgs/100mL
5798940,2018-10-24,095C04,Bendigo,Strathfieldsaye,E Coli,0,Orgs/100mL
5798922,2018-10-24,095F01,Bendigo,Big Hill,THMs,0.007,mg/L
5798589,2018-10-17,095A19,Bendigo,Bendigo (Northern),Turbidity,0.3,NTU
5798909,2018-10-24,095F01,Bendigo,Big Hill,Turbidity,0.2,NTU
5798602,2018-10-17,095N05,Bendigo,Bendigo (Raywood),Turbidity,0.2,NTU
5798554,2018-10-16,090C03,Laanecoorie,Tarnagulla,Turbidity,0.2,NTU
5798591,2018-10-17,095F03,Bendigo,Big Hill,Turbidity,0.2,NTU
5798562,2018-10-16,090A02,Laanecoorie,Laanecoorie,THMs,0.071,mg/L
5798623,2018-10-17,095L03,Bendigo,Bendigo (Axedale),Turbidity,0.2,NTU
5798895,2018-10-23,090D01,Laanecoorie,Bealiba,E Coli,0,Orgs/100mL
5798615,2018-10-17,095N05,Bendigo,Bendigo (Raywood),THMs,0.09,mg/L
5798987,2018-10-28,095D09,Bendigo,Epsom - Huntly,E Coli,0,Orgs/100mL
5579822,2018-04-02,095D03,Bendigo,Epsom - Huntly,E Coli,0,Orgs/100mL
5491378,2018-03-27,095B08,Bendigo,Maiden Gully - Marong,THMs,0.011,mg/L
5579981,2018-04-04,095A20,Bendigo,Bendigo (Northern),E Coli,0,Orgs/100mL
5457149,2018-01-04,095A10,Bendigo,Bendigo (Northern),E Coli,0,Orgs/100mL
5457173,2018-01-04,095C09,Bendigo,Strathfieldsaye,E Coli,0,Orgs/100mL
5387428,2017-12-26,095D09,Bendigo,Epsom - Huntly,Turbidity,0.2,NTU
5387582,2017-12-26,095B06,Bendigo,Maiden Gully - Marong,Turbidity,0.2,NTU
5457138,2018-01-03,095B02,Bendigo,Maiden Gully - Marong,E Coli,0,Orgs/100mL
5387581,2017-12-26,090D03,Laanecoorie,Bealiba,Turbidity,0.05,NTU
5847649,2018-11-14,095A03,Bendigo,Bendigo (Northern),Turbidity,0.2,NTU
5847718,2018-11-14,095K09,Bendigo,Junortoun,Turbidity,0.2,NTU
5387614,2017-12-26,095F02,Bendigo,Big Hill,Turbidity,0.1,NTU
5387579,2017-12-26,090C02,Laanecoorie,Tarnagulla,Turbidity,0.1,NTU
5387594,2017-12-26,095A09,Bendigo,Bendigo (Northern),Turbidity,0.2,NTU
5491376,2018-03-27,090C02,Laanecoorie,Tarnagulla,Turbidity,0.1,NTU
5491393,2018-03-28,095H01,Bendigo,Bendigo (Southern),E Coli,0,Orgs/100mL
