Sample_No,Date_Sampled,Sample_Point,Zone,Result,Units
5890125,2018-12-26,090D03,Bealiba,0.1,NTU
5890123,2018-12-26,090B09,Dunolly,0.05,NTU
5890124,2018-12-26,090C03,Tarnagulla,0.1,NTU
5765903,2018-09-04,090B08,Dunolly,0.1,NTU
5765904,2018-09-04,090C04,Tarnagulla,0.1,NTU
5734990,2018-08-14,090B03,Dunolly,0.1,NTU
5582194,2018-06-13,090A02,Laanecoorie,0.2,NTU
5582195,2018-06-13,090B03,Dunolly,0.2,NTU
5798895,2018-10-23,090D01,Bealiba,0.1,NTU
5798554,2018-10-16,090C03,Tarnagulla,0.2,NTU
5387581,2017-12-26,090D03,Bealiba,0.05,NTU
5387579,2017-12-26,090C02,Tarnagulla,0.1,NTU
5491376,2018-03-27,090C02,Tarnagulla,0.1,NTU
5889507,2018-12-11,090D02,Bealiba,0.2,NTU
5605792,2018-06-26,090B02,Dunolly,0.2,NTU
5581954,2018-06-07,090A04,Laanecoorie,0.2,NTU
5581956,2018-06-07,090C02,Tarnagulla,0.2,NTU
5581957,2018-06-07,090D01,Bealiba,0.4,NTU
5581955,2018-06-07,090B07,Dunolly,0.2,NTU
5480816,2018-03-20,090B01,Dunolly,0.05,NTU
5585094,2018-03-20,090C04,Tarnagulla,0.05,NTU
5847943,2018-11-20,090A02,Laanecoorie,0.1,NTU
5847955,2018-11-20,090D03,Bealiba,0.3,NTU
5734989,2018-08-14,090A01,Laanecoorie,0.5,NTU
5734999,2018-08-14,090D01,Bealiba,0.1,NTU
5734998,2018-08-14,090C04,Tarnagulla,0.1,NTU
5889489,2018-12-11,090A04,Laanecoorie,0.2,NTU
5889490,2018-12-11,090B07,Dunolly,0.1,NTU
5889506,2018-12-11,090C01,Tarnagulla,0.1,NTU
5797981,2018-10-02,090B05,Dunolly,0.2,NTU
5173164,2017-05-16,090C03,Tarnagulla,0.2,NTU
5798555,2018-10-16,090D08,Bealiba,0.2,NTU
5798553,2018-10-16,090B03,Dunolly,0.2,NTU
5798552,2018-10-16,090A02,Laanecoorie,0.2,NTU
5387578,2017-12-26,090B06,Dunolly,0.1,NTU
5174338,2017-05-16,090D01,Bealiba,0.1,NTU
5040035,2017-02-14,090B07,Dunolly,0.2,NTU
5890122,2018-12-26,090A02,Laanecoorie,0.1,NTU
5797982,2018-10-02,090C01,Tarnagulla,0.2,NTU
5797980,2018-10-02,090A03,Laanecoorie,0.2,NTU
5797983,2018-10-02,090D02,Bealiba,0.3,NTU
5847624,2018-11-13,090B06,Dunolly,0.2,NTU
5198970,2017-06-20,090C02,Tarnagulla,0.2,NTU
5198969,2017-06-20,090B06,Dunolly,0.4,NTU
5198971,2017-06-20,090D03,Bealiba,0.1,NTU
5019027,2017-01-10,090A03,Laanecoorie,0.2,NTU
5019028,2017-01-10,090B05,Dunolly,0.2,NTU
5019352,2017-01-17,090A01,Laanecoorie,0.3,NTU
5019030,2017-01-10,090D03,Bealiba,0.2,NTU
5199171,2017-06-27,090C04,Tarnagulla,0.2,NTU
5264387,2017-06-27,090A01,Laanecoorie,0.3,NTU
5018669,2017-01-04,090C02,Tarnagulla,0.3,NTU
5198456,2017-06-07,090A01,Laanecoorie,0.7,NTU
5385530,2017-11-07,090C01,Tarnagulla,0.2,NTU
5385245,2017-11-01,090C02,Tarnagulla,0.2,NTU
5385246,2017-11-01,090D07,Bealiba,0.1,NTU
5385244,2017-11-01,090B08,Dunolly,0.1,NTU
5039730,2017-02-07,090C03,Tarnagulla,0.2,NTU
5039728,2017-02-07,090A04,Laanecoorie,0.2,NTU
5174336,2017-05-16,090B01,Dunolly,0.2,NTU
5040036,2017-02-14,090C04,Tarnagulla,0.2,NTU
5039731,2017-02-07,090D02,Bealiba,0.1,NTU
5198466,2017-06-07,090C01,Tarnagulla,0.2,NTU
5198468,2017-06-07,090D01,Bealiba,0.1,NTU
5385528,2017-11-07,090A02,Laanecoorie,0.2,NTU
5281048,2017-08-08,090D01,Bealiba,0.2,NTU
5280814,2017-08-01,090D08,Bealiba,0.05,NTU
5280812,2017-08-01,090A05,Laanecoorie,0.2,NTU
5019353,2017-01-17,090B03,Dunolly,0.2,NTU
5039120,2017-01-31,090B01,Dunolly,0.2,NTU
5286972,2017-07-18,090D07,Bealiba,0.4,NTU
5280144,2017-07-12,090A04,Laanecoorie,0.1,NTU
5252029,2017-07-12,090C02,Tarnagulla,0.2,NTU
5280145,2017-07-12,090B01,Dunolly,0.1,NTU
5281713,2017-08-29,090C04,Tarnagulla,0.2,NTU
5281047,2017-08-08,090C01,Tarnagulla,0.2,NTU
5198715,2017-06-14,090A02,Laanecoorie,0.2,NTU
5039121,2017-01-31,090C01,Tarnagulla,0.3,NTU
5281711,2017-08-29,090A02,Laanecoorie,0.2,NTU
5281046,2017-08-08,090B03,Dunolly,0.2,NTU
5281542,2017-08-22,090B06,Dunolly,0.2,NTU
5281534,2017-08-22,090A03,Laanecoorie,0.2,NTU
5172918,2017-05-09,090D03,Bealiba,0.3,NTU
5172917,2017-05-09,090C04,Tarnagulla,0.4,NTU
5580262,2018-04-10,090C03,Tarnagulla,0.1,NTU
5172915,2017-05-09,090A02,Laanecoorie,0.2,NTU
5281543,2017-08-22,090C02,Tarnagulla,0.2,NTU
5172916,2017-05-09,090B04,Dunolly,0.2,NTU
5019355,2017-01-17,090D01,Bealiba,0.1,NTU
5019354,2017-01-17,090C03,Tarnagulla,0.2,NTU
5039729,2017-02-07,090B09,Dunolly,0.2,NTU
5040037,2017-02-14,090D02,Bealiba,0.1,NTU
5018667,2017-01-04,090A04,Laanecoorie,0.2,NTU
5286970,2017-07-18,090C03,Tarnagulla,0.1,NTU
5252276,2017-07-18,090B05,Dunolly,0.2,NTU
5252275,2017-07-18,090A03,Laanecoorie,0.1,NTU
5019631,2017-01-24,090D03,Bealiba,0.1,NTU
5039144,2017-01-31,090D07,Bealiba,0.1,NTU
5605791,2018-06-26,090A01,Laanecoorie,0.2,NTU
5605793,2018-06-26,090C04,Tarnagulla,0.1,NTU
5582196,2018-06-13,090C03,Tarnagulla,0.1,NTU
5582197,2018-06-13,090D07,Bealiba,0.3,NTU
5198968,2017-06-20,090A04,Laanecoorie,0.5,NTU
5264389,2017-06-27,090D02,Bealiba,0.05,NTU
5039119,2017-01-31,090A03,Laanecoorie,0.1,NTU
5280813,2017-08-01,090B09,Dunolly,0.05,NTU
5304412,2017-08-01,090C02,Tarnagulla,0.1,NTU
5018670,2017-01-04,090D07,Bealiba,0.2,NTU
5766194,2018-09-11,090D08,Bealiba,0.2,NTU
5457641,2018-01-16,090D07,Bealiba,0.2,NTU
5457638,2018-01-16,090A04,Laanecoorie,0.2,NTU
5457639,2018-01-16,090B01,Dunolly,0.1,NTU
5457640,2018-01-16,090C04,Tarnagulla,0.2,NTU
5019029,2017-01-10,090C01,Tarnagulla,0.2,NTU
5040034,2017-02-14,090A01,Laanecoorie,0.2,NTU
5173163,2017-05-16,090A04,Laanecoorie,0.2,NTU
5198457,2017-06-07,090B02,Dunolly,0.2,NTU
5385243,2017-11-01,090A03,Laanecoorie,0.2,NTU
5019617,2017-01-24,090B08,Dunolly,0.2,NTU
5092952,2017-03-07,090A03,Laanecoorie,0.1,NTU
5092955,2017-03-07,090D07,Bealiba,0.2,NTU
5092953,2017-03-07,090B04,Dunolly,0.2,NTU
5092954,2017-03-07,090C04,Tarnagulla,0.2,NTU
5018668,2017-01-04,090B04,Dunolly,0.2,NTU
5132080,2017-04-11,090D02,Bealiba,0.1,NTU
5132075,2017-04-11,090B07,Dunolly,0.2,NTU
5132062,2017-04-11,090A03,Laanecoorie,0.1,NTU
5093230,2017-03-15,090D01,Bealiba,0.1,NTU
5019630,2017-01-24,090C02,Tarnagulla,0.3,NTU
5019616,2017-01-24,090A04,Laanecoorie,0.2,NTU
5132721,2017-04-26,090D01,Bealiba,0.1,NTU
5281544,2017-08-22,090D07,Bealiba,0.2,NTU
5131069,2017-04-04,090D01,Bealiba,0.1,NTU
5131065,2017-04-04,090B01,Dunolly,0.2,NTU
5131033,2017-04-04,090A01,Laanecoorie,0.5,NTU
5131067,2017-04-04,090C02,Tarnagulla,0.2,NTU
5251734,2017-07-04,090A02,Laanecoorie,0.1,NTU
5251736,2017-07-04,090D01,Bealiba,0.05,NTU
5270440,2017-07-04,090C01,Tarnagulla,0.2,NTU
5040293,2017-02-21,090B02,Dunolly,0.2,NTU
5093462,2017-03-21,090C03,Tarnagulla,0.2,NTU
