"Date_Sampled","Sample_No","Subsite_Code","Zone","Result","Units"
2018-12-12,5889464,"086J06","Taradale - Elphinstone",0.1,"NTU"
2018-07-02,5690092,"086C02","Fryerstown",0.2,"NTU"
2018-07-02,5690093,"086D09","Guildford",0.1,"NTU"
2018-08-15,5734966,"086J02","Taradale - Elphinstone",0.2,"NTU"
2018-06-14,5582171,"086J02","Taradale - Elphinstone",0.05,"NTU"
2018-12-17,5889615,"086D02","Guildford",0.2,"NTU"
2018-07-02,5690095,"086G04","Newstead",0.3,"NTU"
2018-07-02,5690096,"086H05","Harcourt",0.1,"NTU"
2018-08-13,5734795,"086A11","Castlemaine",0.2,"NTU"
2018-07-02,5690091,"086A03","Castlemaine",0.1,"NTU"
2019-05-20,6075724,"086C04","Fryerstown",0.2,"NTU"
2019-05-20,6075725,"086D08","Guildford",0.2,"NTU"
2019-05-20,6075739,"086G04","Newstead",0.1,"NTU"
2019-04-29,6027133,"086G06","Newstead",0.1,"NTU"
2019-04-29,6027134,"086H02","Harcourt",0.1,"NTU"
2019-05-01,6075180,"086J01","Taradale - Elphinstone",0.1,"NTU"
2019-05-20,6075738,"086F01","Maldon",0.1,"NTU"
2018-12-24,5889952,"086D04","Guildford",0.3,"NTU"
2018-12-24,5889955,"086H04","Harcourt",0.2,"NTU"
2018-12-24,5889950,"086A04","Castlemaine",0.3,"NTU"
2018-07-23,5690985,"086A09","Castlemaine",0.1,"NTU"
2018-07-23,5690989,"086G07","Newstead",0.1,"NTU"
2018-01-02,5456975,"086A12","Castlemaine",0.2,"NTU"
2018-01-02,5456978,"086F03","Maldon",0.2,"NTU"
2018-07-23,5690988,"086F09","Maldon",0.2,"NTU"
2018-07-23,5690990,"086H06","Harcourt",0.2,"NTU"
2019-04-29,6027132,"086F06","Maldon",0.1,"NTU"
2019-05-15,6075589,"086J04","Taradale - Elphinstone",0.1,"NTU"
2018-01-15,5457469,"086G07","Newstead",0.1,"NTU"
2019-05-06,6075287,"086A14","Castlemaine",0.1,"NTU"
2019-02-04,5942473,"086C04","Fryerstown",0.3,"NTU"
2019-02-04,5942474,"086D03","Guildford",0.3,"NTU"
2019-03-14,5987615,"086J02","Taradale - Elphinstone",0.1,"NTU"
2019-02-04,5942476,"086G02","Newstead",0.2,"NTU"
2019-02-11,5942741,"086F02","Maldon",0.1,"NTU"
2019-03-27,5988209,"086J07","Taradale - Elphinstone",0.2,"NTU"
2019-03-25,5988050,"086C08","Fryerstown",0.1,"NTU"
