V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,PID,psid,K2,project,gc,term,Q_TotalDuration,med,consent,city,tap,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,PIIcomment,hardship,contact,trap,t01,t02,t03,t04,t05,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,SQcomment,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,PID,psid,K2,project,gc,term,Q_TotalDuration,med,consent,In which city do you live?,Do you have tap water in your house?,PII-Important:Unimportant,PII-Relevant:Irrelevant,PII-Meaningless:Meaningful,PII-Worthless:Valuable,PII-Not needed:Needed,PII-Boring:Interesting,PII-Exciting:Unexciting,PII-Appealing:Unappealing,PII-Fascinating:Mundane,PII-Involving:Uninvolving,PIIcomment,hardship,contact,trap,SERVAQUA-Tap water is available whenever I need it.,SERVAQUA-My tap water is always safe to drink.,SERVAQUA-My tap water is always visually appealing.,SERVAQUA-My tap water always has a pleasant taste.,SERVAQUA-My tap water always has sufficient pressure.,SERVAQUA-My water bills are always accurate.,SERVAQUA-The services provided by my water utility are reliable.,SERVAQUA-My water utility always provides good customer service.,SERVAQUA-I can always depend on the services of my water utility.,SERVAQUA-Employees of my water utility have the knowledge to answer my questions.,SERVAQUA-My water utility consistently provides the services they promise.,SERVAQUA-Employees in my water utility give me prompt service.,"SERVAQUA-When I have problems, my water utility is sympathetic and understanding.",SERVAQUA-My water utility has my best interests at heart.,SERVAQUA-Employees of my water utility are always be willing to help me.,SERVAQUA-My water bills are easy to understand.,SERVAQUA-Employees of my water utility are consistently polite.,SERVAQUA-My water utility provides me with sufficient information.,SQcomment,LocationLatitude,LocationLongitude,LocationAccuracy
R_eqvaSnwkUPEwKz3,Default Response Set,Anonymous,,,159.83.4.56,0,2015-03-18 09:52:14,2015-03-18 09:53:41,1,1154949235,iZXUO4qzTRS23SsvPItAVQ**,27197,Qual712-0618WaterUtilities,1,,87,17358886974853,1,1,1,1,1,7,7,7,7,1,1,1,1,shower water,1,2,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,34.043792724609,-118.18740081787,-1
R_8BOAyMxMfu0gkLz,Default Response Set,Anonymous,,,209.73.136.53,0,2015-03-18 09:52:14,2015-03-18 09:54:57,1,1276643884,iZXUO4qzTRRByVq90zrhcA**,27197,Qual712-0618WaterUtilities,2,attention,163,,1,1,1,5,4,2,3,4,3,4,4,5,3,yes like,6,5,0,,,,,,,,,,,,,,,,,,,,37.372100830078,-121.86430358887,-1
R_6W5ljiAOy14oRnf,Default Response Set,Anonymous,,,50.164.237.144,0,2015-03-18 09:56:05,2015-03-18 09:56:27,1,1277801506,iZXUO4qzTRSbI89TBnFmmg**,27197,Qual712-0618WaterUtilities,2,otherCity,22,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.424697875977,-71.111198425293,-1
R_d5KZUxOzfhQGOmF,Default Response Set,Anonymous,,,98.112.142.73,0,2015-03-18 10:02:13,2015-03-18 10:02:56,1,1277774343,iZXUO4qzTRRbCIeslj5wnw**,27197,Qual712-0618WaterUtilities,2,otherCity,43,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.726501464844,-118.00689697266,-1
R_50zNvLsNRxFctxj,Default Response Set,Anonymous,,,108.7.154.221,0,2015-03-18 10:02:20,2015-03-18 10:03:57,1,1251558449,iZXUO4qzTRRT-nYVuf1QHw**,27197,Qual712-0618WaterUtilities,1,,97,18810923461273,1,3,1,1,1,1,7,7,7,1,1,1,7,Save for all my family,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,No,42.33659362793,-71.072601318359,-1
R_3env6Rl1UGW2m4R,Default Response Set,Anonymous,,,67.176.34.18,0,2015-03-18 10:02:36,2015-03-18 10:05:51,1,1132238400,iZXUO4qzTRTdXmenMvpOag**,27197,Qual712-0618WaterUtilities,1,,195,17017543124803,1,2,1,2,6,3,2,5,1,7,7,6,5,"cleaness and safe to drink, and taste good",5,2,1,4,2,1,7,4,4,3,3,7,4,3,4,4,2,2,5,1,4,I don't really know the quality of water.,39.700302124023,-104.84149932861,-1
R_ekUQoN4swTW1yFD,Default Response Set,Anonymous,,,173.76.107.87,0,2015-03-18 10:04:54,2015-03-18 10:11:01,1,1273490676,iZXUO4qzTRRmHFzeelKx2A**,27197,Qual712-0618WaterUtilities,1,,367,19140564833083,1,3,1,1,1,7,7,7,4,4,3,4,6,bathing,1,1,1,6,2,2,3,6,5,2,2,3,2,3,2,3,3,2,5,2,3,Our tap water is usually good but there are times when it is yellow or brown for a couple of weeks. When you call about it the employees are arrogant and argumentative.,42.473297119141,-70.941902160645,-1
R_bOZJK1TfWhRdCoB,Default Response Set,Anonymous,,,128.177.161.161,0,2015-03-18 10:05:04,2015-03-18 10:11:46,1,1277686539,iZXUO4qzTRRAEUQQc-Eiuw**,27197,Qual712-0618WaterUtilities,1,,402,19203628653973,1,2,1,1,1,7,7,7,7,1,1,2,1,Tap...to drink,2,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"None, thank you",38,-97,-1
R_0ceqWwHTFkDgdgh,Default Response Set,Anonymous,,,67.176.35.149,0,2015-03-18 10:10:17,2015-03-18 10:12:52,1,1230292148,iZXUO4qzTRR3HSe0TBmnJw**,27197,Qual712-0618WaterUtilities,1,,155,18491290957243,1,2,1,1,1,7,7,7,4,4,4,4,4,"cooking,drinking",1,1,1,6,6,4,2,6,6,6,4,6,4,6,4,1,1,4,6,4,4,,39.61669921875,-104.6695022583,-1
R_9FXJesR9vTk2v9r,Default Response Set,Anonymous,,,76.24.175.205,0,2015-03-18 10:12:30,2015-03-18 10:18:13,1,1277866624,iZXUO4qzTRQnL4hqgZuenw**,27197,Qual712-0618WaterUtilities,1,,343,19206335331523,1,3,1,1,1,7,7,7,7,1,1,1,1,bathing,4,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,41.939102172852,-71.058601379395,-1
R_6XteSVu0HloWoFT,Default Response Set,Anonymous,,,98.245.35.183,0,2015-03-18 10:16:47,2015-03-18 10:22:14,1,1212125765,iZXUO4qzTRRKg1Y3DgfDIQ**,27197,Qual712-0618WaterUtilities,1,,327,18218250220753,1,2,1,1,1,7,7,7,6,6,3,6,3,tap water for washing and bathing,5,1,1,7,1,7,7,4,4,7,6,7,4,4,4,4,4,4,7,4,7,I DO NOT DRINK ANY TAP WATER FROM THE FAUCET. ALL IS ADDITIONALLY PURIFIED TO GET RID OF THE CLORINE AND FLUORIDE AND AND OTHER TOXIC ELEMENTS.,39.703598022461,-104.77239990234,-1
R_42VinyQNyFUVkPj,Default Response Set,Anonymous,,,172.56.31.135,0,2015-03-18 10:20:31,2015-03-18 10:23:40,1,1274917875,iZXUO4qzTRTC7J3aq6YEjQ**,27197,Qual712-0618WaterUtilities,1,,189,19162015634053,1,1,1,3,2,3,4,1,2,2,1,2,3,Washing dishes and for bathing,4,4,1,6,6,5,5,6,6,6,6,5,6,7,7,6,4,6,6,5,5,I need a tap water that i can drink and taste good,33.973495483398,-118.24520111084,-1
R_6zcP36ZbR9jfFdP,Default Response Set,Anonymous,,,50.163.72.122,0,2015-03-18 10:24:33,2015-03-18 10:24:46,1,1278527720,iZXUO4qzTRTLQP3VZklVMQ**,27197,Qual712-0618WaterUtilities,2,otherCity,13,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.467498779297,-71.01309967041,-1
R_0DF4ls1xRj5xpKB,Default Response Set,Anonymous,,,50.152.22.42,0,2015-03-18 10:20:29,2015-03-18 10:25:00,1,1241413947,iZXUO4qzTRSGQILfOPyWCA**,27197,Qual712-0618WaterUtilities,1,,271,18658451596213,1,2,1,1,2,4,4,7,5,4,6,4,2,Bathing,2,1,1,7,3,2,5,6,4,4,4,4,4,4,4,4,4,4,4,4,4,Water is consistently brown. Everyone in my neighborhood has to run the faucet for a minute to get clear water....the water company has no interest in addressing this issue.,39.489501953125,-104.76760101318,-1
R_3KsexqBETt7MxIp,Default Response Set,Anonymous,,,98.216.97.99,0,2015-03-18 10:26:13,2015-03-18 10:31:16,1,1278512048,iZXUO4qzTRQ7n67yyikzRA**,27197,Qual712-0618WaterUtilities,1,,303,19216036054243,1,3,1,1,4,1,7,7,1,7,7,7,7,drinking ,4,1,1,7,4,6,5,7,4,7,4,7,6,6,4,4,4,5,7,4,5,None,42.424697875977,-71.111198425293,-1
R_ahmz8tBKKnH9o7X,Default Response Set,Anonymous,,,73.217.79.30,0,2015-03-18 10:28:28,2015-03-18 10:31:23,1,1225214118,iZXUO4qzTRTZ5PUDeaAAKw**,27197,Qual712-0618WaterUtilities,1,,175,18414968166343,1,2,1,1,1,7,7,7,7,1,1,1,1,drinking,1,2,1,5,4,5,6,5,4,5,7,4,4,4,4,4,4,4,7,4,4,n/a,39.443893432617,-104.85150146484,-1
R_ehSR06WTpWqLv0N,Default Response Set,Anonymous,,,98.118.103.175,0,2015-03-18 10:32:15,2015-03-18 10:35:22,1,1079309888,iZXUO4qzTRQRmEL1VHEL4w**,27197,Qual712-0618WaterUtilities,1,,187,16222027589443,1,3,1,1,1,7,7,7,7,3,1,2,1,For daily baths,1,2,1,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,The water dept. kepts us informed on the quality of our town water,42.708404541016,-71.143501281738,-1
R_0Ca4dkXRUibI4zX,Default Response Set,Anonymous,,,98.148.247.139,0,2015-03-18 10:30:12,2015-03-18 10:37:18,1,1275887748,iZXUO4qzTRQExhBK842Izg**,27197,Qual712-0618WaterUtilities,1,,426,19176592825243,1,1,1,6,2,6,2,3,6,6,6,6,6,To clean dishes,7,3,1,5,1,1,1,2,4,5,4,5,4,5,5,4,2,4,5,2,2,No comment ,34.039001464844,-117.75479888916,-1
R_b9oVgKPyeUCMs29,Default Response Set,Anonymous,,,96.39.237.102,0,2015-03-18 10:34:16,2015-03-18 10:37:27,1,1269460721,iZXUO4qzTRTyl1k_ag2TXQ**,27197,Qual712-0618WaterUtilities,1,,191,19079994609433,1,1,1,2,6,6,6,6,6,3,3,3,2,Drinking,2,2,1,4,5,5,5,5,5,5,5,5,4,5,4,5,5,5,6,5,5,,33.781600952148,-118.18589782715,-1
