Date_Sampled,Sample_No,Sample_Point,Zone,Result,Units
2018-12-30T13:00:00Z,5890227,095D08,Southwold,0.2,NTU
2018-12-26T13:00:00Z,5889987,095D06,Southwold,0.1,NTU
2017-12-26T13:00:00Z,5387428,095D09,Southwold,0.2,NTU
2018-03-25T13:00:00Z,5592030,095D02,Southwold,0.05,NTU
2017-02-12T13:00:00Z,5039890,095D06,Southwold,0.2,NTU
2019-03-03T13:00:00Z,5987206,095D10,Southwold,0.1,NTU
2018-08-19T14:00:00Z,5735107,095D11,Southwold,0.2,NTU
2017-05-15T14:00:00Z,5173031,095D09,Southwold,0.2,NTU
2019-02-10T13:00:00Z,5942778,095D05,Southwold,0.1,NTU
2019-06-02T14:00:00Z,6092264,095D08,Southwold,0.1,NTU
2019-06-10T14:00:00Z,6092429,095D01,Southwold,0.1,NTU
2019-03-31T13:00:00Z,6025650,095D09,Southwold,0.2,NTU
2018-08-12T14:00:00Z,5734839,095D09,Southwold,0.2,NTU
2018-01-01T13:00:00Z,5457010,095D11,Southwold,0.1,NTU
2018-07-22T14:00:00Z,5691009,095D06,Southwold,0.2,NTU
2019-05-19T14:00:00Z,6075770,095D10,Southwold,0.1,NTU
2017-01-15T13:00:00Z,5019170,095D05,Southwold,0.2,NTU
2017-02-05T13:00:00Z,5039302,095D10,Southwold,0.2,NTU
2019-05-26T14:00:00Z,6075973,095D06,Southwold,0.2,NTU
2018-07-01T14:00:00Z,5690110,095D07,Southwold,0.2,NTU
2018-01-14T13:00:00Z,5457506,095D03,Southwold,0.1,NTU
2017-01-02T13:00:00Z,5018538,095D02,Southwold,0.2,NTU
2017-02-19T13:00:00Z,5040151,095D08,Southwold,0.2,NTU
2019-05-12T14:00:00Z,6075463,095D04,Southwold,0.2,NTU
2019-04-07T14:00:00Z,6026046,095D11,Southwold,0.1,NTU
2017-01-29T13:00:00Z,5019736,095D04,Southwold,0.2,NTU
2019-02-24T13:00:00Z,5943601,095D04,Southwold,0.1,NTU
2018-06-03T14:00:00Z,5581868,095D11,Southwold,0.2,NTU
2019-04-28T14:00:00Z,6027166,095D05,Southwold,0.2,NTU
2017-06-18T14:00:00Z,5198851,095D04,Southwold,0.2,NTU
2017-01-08T13:00:00Z,5018819,095D03,Southwold,0.2,NTU
2017-05-21T14:00:00Z,5173275,095D02,Southwold,0.2,NTU
2017-01-22T13:00:00Z,5019475,095D07,Southwold,0.2,NTU
2019-04-22T14:00:00Z,6026855,095D03,Southwold,0.2,NTU
2019-02-17T13:00:00Z,5943293,095D07,Southwold,0.1,NTU
2017-07-02T14:00:00Z,5251627,095D06,Southwold,0.05,NTU
2019-05-05T14:00:00Z,6075310,095D07,Southwold,5.277207947801799,NTU
2019-01-28T13:00:00Z,5923987,095D02,Southwold,0.1,NTU
2017-04-09T14:00:00Z,5131880,095D04,Southwold,0.2,NTU
2019-02-03T13:00:00Z,5942502,095D03,Southwold,0.3,NTU
2019-04-14T14:00:00Z,6026468,095D02,Southwold,0.3,NTU
2019-03-24T13:00:00Z,5988084,095D01,Southwold,0.1,NTU
2017-03-05T13:00:00Z,5092795,095D09,Southwold,0.2,NTU
2017-03-26T13:00:00Z,5093571,095D05,Southwold,0.2,NTU
2017-03-19T13:00:00Z,5093337,095D03,Southwold,0.2,NTU
2017-08-06T14:00:00Z,5280924,095D02,Southwold,0.1,NTU
2017-04-05T14:00:00Z,5130759,095D07,Southwold,0.2,NTU
2017-02-26T13:00:00Z,5040395,095D01,Southwold,0.2,NTU
2017-10-29T13:00:00Z,5344637,095D03,Southwold,0.1,NTU
2017-09-24T14:00:00Z,5282708,095D08,Southwold,0.1,NTU
2017-11-12T13:00:00Z,5385646,095D07,Southwold,0.2,NTU
2017-08-20T14:00:00Z,5281438,095D05,Southwold,0.1,NTU
2017-04-30T14:00:00Z,5171953,095D08,Southwold,0.1,NTU
2017-07-16T14:00:00Z,5252171,095D01,Southwold,0.2,NTU
2017-06-12T14:00:00Z,5198579,095D07,Southwold,0.1,NTU
2017-12-10T13:00:00Z,5386819,095D08,Southwold,0.1,NTU
2017-04-17T14:00:00Z,5132234,095D10,Southwold,0.1,NTU
2017-06-25T14:00:00Z,5263324,095D10,Southwold,0.1,NTU
2017-07-09T14:00:00Z,5251865,095D08,Southwold,0.1,NTU
2017-10-15T13:00:00Z,5344087,095D11,Southwold,0.2,NTU
2017-11-19T13:00:00Z,5385972,095D04,Southwold,0.2,NTU
2017-10-08T13:00:00Z,5343715,095D09,Southwold,0.1,NTU
2018-03-18T13:00:00Z,5480655,095D11,Southwold,0.05,NTU
2017-12-03T13:00:00Z,5386536,095D06,Southwold,0.1,NTU
2018-03-12T13:00:00Z,5574407,095D09,Southwold,0.05,NTU
2019-03-11T13:00:00Z,5987482,095D06,Southwold,0.2,NTU
2017-05-07T14:00:00Z,5172159,095D01,Southwold,0.1,NTU
2017-08-13T14:00:00Z,5281176,095D03,Southwold,0.2,NTU
2017-10-01T13:00:00Z,5343393,095D01,Southwold,0.1,NTU
2018-01-21T13:00:00Z,5457755,095D05,Southwold,0.05,NTU
2018-02-18T13:00:00Z,5460118,095D06,Southwold,0.05,NTU
2018-04-08T14:00:00Z,5609375,095D05,Southwold,0.05,NTU
2017-07-23T14:00:00Z,5293372,095D09,Southwold,0.05,NTU
2017-06-05T14:00:00Z,5198286,095D05,Southwold,0.1,NTU
2017-04-23T14:00:00Z,5132516,095D06,Southwold,0.1,NTU
2018-02-11T13:00:00Z,5459869,095D10,Southwold,4.523885949980468,NTU
2018-05-06T14:00:00Z,5581052,095D06,Southwold,0.1,NTU
2019-03-17T13:00:00Z,5987799,095D08,Southwold,0.2,NTU
2017-03-13T13:00:00Z,5093067,095D02,Southwold,0.3,NTU
2017-07-30T14:00:00Z,5280705,095D11,Southwold,0.05,NTU
2017-05-28T14:00:00Z,5173465,095D03,Southwold,0.1,NTU
2017-09-17T14:00:00Z,5282439,095D06,Southwold,0.1,NTU
2017-10-22T13:00:00Z,5344373,095D02,Southwold,0.2,NTU
