Date_Sampled,Sample_No,System,Zone,Sample_Point,Result,Units
2019-05-15,6075624,Laanecoorie,Dunolly,090B08,0.1,NTU
2019-05-15,6075623,Laanecoorie,Laanecoorie,090A02,0.2,NTU
2019-05-15,6075626,Laanecoorie,Bealiba,090D02,0.1,NTU
2019-01-16,5923634,Laanecoorie,Bealiba,090D02,0.1,NTU
2018-10-03,5797980,Laanecoorie,Laanecoorie,090A03,0.2,NTU
2018-10-03,5797983,Laanecoorie,Bealiba,090D02,0.3,NTU
2018-10-03,5797982,Laanecoorie,Tarnagulla,090C01,0.2,NTU
2018-09-12,5766194,Laanecoorie,Bealiba,090D08,0.2,NTU
2018-06-27,5605791,Laanecoorie,Laanecoorie,090A01,0.2,NTU
2018-06-27,5605792,Laanecoorie,Dunolly,090B02,0.2,NTU
2018-06-27,5605793,Laanecoorie,Tarnagulla,090C04,0.1,NTU
2018-06-14,5582195,Laanecoorie,Dunolly,090B03,0.2,NTU
2018-06-14,5582196,Laanecoorie,Tarnagulla,090C03,0.1,NTU
2018-06-14,5582197,Laanecoorie,Bealiba,090D07,0.3,NTU
2018-06-14,5582194,Laanecoorie,Laanecoorie,090A02,0.2,NTU
2018-11-21,5847955,Laanecoorie,Bealiba,090D03,0.3,NTU
2018-11-21,5847943,Laanecoorie,Laanecoorie,090A02,0.1,NTU
2018-03-21,5480816,Laanecoorie,Dunolly,090B01,0.05,NTU
2018-03-21,5585094,Laanecoorie,Tarnagulla,090C04,0.05,NTU
2018-10-17,5798555,Laanecoorie,Bealiba,090D08,0.2,NTU
2018-10-17,5798553,Laanecoorie,Dunolly,090B03,0.2,NTU
2018-10-17,5798552,Laanecoorie,Laanecoorie,090A02,0.2,NTU
2017-06-28,5264389,Laanecoorie,Bealiba,090D02,0.05,NTU
2017-06-28,5199171,Laanecoorie,Tarnagulla,090C04,0.2,NTU
2017-06-28,5264387,Laanecoorie,Laanecoorie,090A01,0.3,NTU
2017-02-15,5040036,Laanecoorie,Tarnagulla,090C04,0.2,NTU
2019-01-31,5924105,Laanecoorie,Laanecoorie,090A02,0.2,NTU
2019-01-31,5924107,Laanecoorie,Tarnagulla,090C02,0.2,NTU
2019-04-10,6026267,Laanecoorie,Laanecoorie,090A02,0.5,NTU
2019-02-06,5942654,Laanecoorie,Bealiba,090D08,0.2,NTU
2019-04-03,6025825,Laanecoorie,Dunolly,090B01,0.2,NTU
2019-04-03,6025827,Laanecoorie,Bealiba,090D07,0.2,NTU
2019-04-03,6025814,Laanecoorie,Laanecoorie,090A03,0.2,NTU
2019-04-03,6025826,Laanecoorie,Tarnagulla,090C04,0.1,NTU
2019-01-23,5923876,Laanecoorie,Laanecoorie,090A05,0.4,NTU
2018-08-15,5734990,Laanecoorie,Dunolly,090B03,0.1,NTU
2018-08-15,5734989,Laanecoorie,Laanecoorie,090A01,0.5,NTU
2018-08-15,5734999,Laanecoorie,Bealiba,090D01,0.1,NTU
2018-12-12,5889507,Laanecoorie,Bealiba,090D02,0.2,NTU
2018-12-12,5889489,Laanecoorie,Laanecoorie,090A04,0.2,NTU
2019-01-16,5923625,Laanecoorie,Tarnagulla,090C04,0.4,NTU
2018-08-15,5734998,Laanecoorie,Tarnagulla,090C04,0.1,NTU
2018-10-03,5797981,Laanecoorie,Dunolly,090B05,0.2,NTU
2017-06-21,5198968,Laanecoorie,Laanecoorie,090A04,0.5,NTU
2017-06-21,5198971,Laanecoorie,Bealiba,090D03,0.1,NTU
2017-06-21,5198970,Laanecoorie,Tarnagulla,090C02,0.2,NTU
2017-06-21,5198969,Laanecoorie,Dunolly,090B06,0.4,NTU
2018-03-28,5491376,Laanecoorie,Tarnagulla,090C02,0.1,NTU
